Source ID,Target ID,SourceName,TargeName,Source Name Change,Target Name Change,Source Cluster,Target Cluster,Source Jurisdiction,Target Jurisdiction,Source Type,Target Type
128,29,Individual,ESOP management and trust services,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
129,8,Individual,Universal Motors Israel LTD,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
130,8,Individual,Universal Motors Israel LTD,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
131,21,Ya’acov Weitzman ,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Unchanged,Changed,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Vendor
132,21,Eran Shorer ,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Unchanged,Changed,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Vendor
133,21,Individual,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Unchanged,Changed,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Vendor
134,21,Individual,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Unchanged,Changed,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Vendor
106,104,Individual Investor,Mikael Ltd.,Unchanged,Unchanged,Interionet,Interionet,0,United Kingdom,Investor,Investor
102,97,Net Capital Ventures,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,Israel,Israel,Investor,Vendor
103,97,NME Investments Limited,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,British Virgin Islands,Israel,Investor,Vendor
104,97,Mikael Ltd.,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,United Kingdom,Israel,Investor,Vendor
105,97,Altshuler Shaham Trusts Ltd.,Interionet Systems Ltd,Unchanged,Unchanged,Interionet,Interionet,Israel,Israel,Investor,Vendor
105,135,Altshuler Shaham Trusts Ltd.,Individual Investor,Unchanged,Unchanged,Interionet,Interionet,Israel,0,Investor,Investor
105,136,Altshuler Shaham Trusts Ltd.,Individual Investor,Unchanged,Unchanged,Interionet,Interionet,Israel,0,Investor,Investor
105,137,Altshuler Shaham Trusts Ltd.,Individual Investor,Unchanged,Unchanged,Interionet,Interionet,Israel,0,Investor,Investor
98,1,Yair Pecht,NSO Group,Unchanged,Unchanged,Interionet,NSO Group,0,Israel,Individual,Vendor
99,1,Sharon Oknin,NSO Group,Unchanged,Unchanged,Interionet,NSO Group,0,Israel,Individual,Vendor
138,1,Erdinast Giora,NSO Group,Unchanged,Unchanged,Candiru Ltd,NSO Group,0,Israel,Individual,Vendor
138,26,Erdinast Giora,Ibn Hemdat Trusts 1992 Ltd,Unchanged,Unchanged,Candiru Ltd,Candiru Ltd,0,Israel,Individual,Investor
139,47,Karen Jean Seymour ,Trophy Investments Limited > Gamma 2000,Unchanged,Changed,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
140,47,William Louthean Nelson ,Trophy Investments Limited > Gamma 2000,Unchanged,Changed,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
139,52,Karen Jean Seymour ,Gamma International (UK) Limited,Unchanged,Unchanged,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
140,54,William Louthean Nelson ,FinFisher Limited ,Unchanged,Unchanged,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
141,52,John Hadjicostas,Gamma International (UK) Limited,Unchanged,Unchanged,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
140,52,William Louthean Nelson ,Gamma International (UK) Limited,Unchanged,Unchanged,Gamma Group,Gamma Group,0,United Kingdom,Individual,Holding Company
142,56,Individual,AURELIUS Gamma International GmbH,Unchanged,Unchanged,Gamma Group,Gamma Group,0,Germany,Individual,Investor
143,56,Individual,AURELIUS Gamma International GmbH,Unchanged,Unchanged,Gamma Group,Gamma Group,0,Germany,Individual,Investor
